Image,Name,Form,Rarity,Level,Health,Damage,Range,KB,Speed,DPS,Target,Time Between Attacks,Atk. Animation,Recharging Time,Cost,Enemy Types,Ability
https://onestoppress.com/images/001-1_square.png ,Cat,Normal,Basic,30,1700,136,140,3,10,102,Single,1.23,0.27,2,75,,
https://onestoppress.com/images/001-2_square.png ,Macho Cat,Evolved,Basic,30,1700,136,140,3,10,102,Single,1.23,0.27,2,75,,
https://onestoppress.com/images/001-3_square.png ,Mohawk Cat,TRUE,Basic,30,3400,272,140,3,10,218,Single,1.23,0.27,2,75,,
https://onestoppress.com/images/002-1_square.png ,Tank Cat,Normal,Basic,30,6800,34,110,1,8,14,Area,2.23,0.27,2,150,,
https://onestoppress.com/images/002-2_square.png ,Wall Cat,Evolved,Basic,30,6800,34,110,1,8,14,Area,2.23,0.27,2,150,,
https://onestoppress.com/images/002-3_square.png ,Eraser Cat,TRUE,Basic,30,10200,68,110,1,8,34,Area,2.23,0.27,2,150,,
https://onestoppress.com/images/003-1_square.png ,Axe Cat,Normal,Basic,30,3400,422,150,3,12,476,Single,0.9,0.27,2,300,Red,"Against red:Strong(inflicts 1.5x damage, takes only 0.5x damage)"
https://onestoppress.com/images/003-2_square.png ,Brave Cat,Evolved,Basic,30,3400,422,150,3,12,476,Single,0.9,0.27,2,300,Red,"Against red:Strong(inflicts 1.5x damage, takes only 0.5x damage)"
https://onestoppress.com/images/003-3_square.png ,Dark Cat,TRUE,Basic,30,6800,850,150,3,12,952,Single,0.9,0.27,2,300,Red,"Against red:Strong(inflicts 1.5x damage, takes only 0.5x damage)"
https://onestoppress.com/images/004-1_square.png ,Gross Cat,Normal,Basic,30,6800,1700,350,3,10,408,Single,4.23,0.27,2.2,600,,
https://onestoppress.com/images/004-2_square.png ,Sexy Legs Cat,Evolved,Basic,30,6800,1700,350,3,10,408,Single,4.17,0.2,2.2,600,,
https://onestoppress.com/images/004-3_square.png ,Macho Leg Cat,TRUE,Basic,30,13600,3400,350,3,10,816,Single,4.17,0.2,7.53,600,Alien,"Against alien:Strong(inflicts 1.5x damage, takes only 0.5x damage)"
https://onestoppress.com/images/005-1_square.png ,Cow Cat,Normal,Basic,30,8500,218,140,5,30,666,Single,0.33,0.2,2,750,,
https://onestoppress.com/images/005-2_square.png ,Giraffe Cat,Evolved,Basic,30,8500,218,140,5,30,666,Single,0.33,0.2,2,750,,
https://onestoppress.com/images/005-3_square.png ,Lion Cat,TRUE,Basic,30,17000,442,140,5,30,1326,Single,0.33,0.2,4.2,750,,
https://onestoppress.com/images/006-1_square.png ,Bird Cat,Normal,Basic,30,5100,2380,170,4,10,1462,Area,1.63,0.33,2,975,,
https://onestoppress.com/images/006-2_square.png ,UFO Cat,Evolved,Basic,30,5100,2802,170,4,10,1482,Area,1.9,0.6,2,975,,
